Categorias,Linea,Sublinea,Nombre,Precio1,Precio2,Medidas,Estructura,Espuma,Tela,Origen,Certifications,Tiempo de entrega,Materiales,Img_url,Product_url
Salas ,Salas ,Sofás,Sofá New Belt Plumas,3581000,4283000,,,Espuma industrializada de alta densidad y resiliencia. Resortes Encapsulados independientes.,Telas de alta resistencia al desgaste,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles.,,https://aristas.co/wp-content/uploads/2023/08/Sofa-new-belt-3-puestos.jpg,https://aristas.co/producto/sofa-new-belt/
Salas ,Salas ,Sofás,Sofá Floyd,3277000,4125000,,,Espuma industrializada de poliuretano de alta densidad y resiliencia. Pluma de pato de 2 a 4 cms en su cojín de espaldar con certificación de pluma proveniente de un área no epizoótica. Resortes Pocket y cincha.,Telas de alta resistencia al desgaste.,100% producción nacional. ,"Maderas Reforestadas: FSC, PEFC > Rainforest alliance > ; Espuma ISO 9001. ",21 días hábiles.,,https://aristas.co/wp-content/uploads/2023/08/1.SOFA-FLOYD-2P.jpg,https://aristas.co/producto/sofa-floyd/
Salas ,Salas ,Sofás,Sofá Modular Roma,4000002,4398000,,21 días hábiles,"Espuma industrializada de alta densidad y resiliencia > Resortes en cincha, Nosag y pocket en el asiento en el asiento > Pluma de pato de 2 a 4 cms, certificación de pluma proveniente de un área no epizoótica.",Telas de alta resistencia al desgaste.,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles,,https://aristas.co/wp-content/uploads/2023/08/1.Sofa-Roma.jpg,https://aristas.co/producto/sofa-modular-roma/
Salas ,Salas ,Sofás,Sofá Duomo Plumas,3628000,4620000,,21 días hábiles,"Espuma industrializada de alta densidad > Pluma de pato de 2 a 4 cms, certificación de pluma proveniente de un área no epizoótica.",Telas de alta resistencia al desgaste.,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,41 días hábiles.,,https://aristas.co/wp-content/uploads/2023/08/1.Sofa-duomo-plumas-3-ptos.jpg,https://aristas.co/producto/sofa-duomo-plumas/
Salas ,Salas ,Sofás,Sofá Monaco,2936000,3684000,,,Espuma industrializada de alta densidad.,Telas de alta resistencia al desgaste.,100% producción nacional. ,"Maderas Reforestadas: FSC, PEFC > Rainforest alliance > ; Espuma ISO 9001. ",21 días hábiles,,https://aristas.co/wp-content/uploads/2023/08/1.Sofa-Monaco.jpg,https://aristas.co/producto/sofa-monaco/
Salas ,Salas ,Sofás,Sofá Bruselas Plus,2861177,3765000,,,Espuma industrializada de alta densidad.,Telas de alta resistencia al desgaste.,100% producción nacional. ,"Maderas Reforestadas: FSC, PEFC > Rainforest alliance > ; Espuma ISO 9001. ",21 días hábiles,,https://aristas.co/wp-content/uploads/2022/12/Frente.jpg,https://aristas.co/producto/sofa-bruselas/
Salas ,Salas ,Sofás,Sofá Aharon,2167530,2864000,,21 días hábiles,Espuma industrializada de alta densidad y resiliencia – Resortes encapsulados independientes.,Telas de alta resistencia al desgaste.,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles,,https://aristas.co/wp-content/uploads/2023/06/1.SOFA-AHARON-CHECA-PLATA.jpg,https://aristas.co/producto/sofa-aharon/
Salas ,Salas ,Sofás,Sofá Venetto,2634000,3422000,,21 días hábiles,Espuma industrializada de alta densidad.,Telas de alta resistencia al desgaste.,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles,,https://aristas.co/wp-content/uploads/2020/03/frente-12.jpg,https://aristas.co/producto/sofa-venetto/
Salas ,Salas ,Sofás,Sofá Madrid,2380000,2923000,,,Espuma industrializada de alta densidad y alta resistencia,Telas de alta resistencia al desgaste,100% producción nacional. ,Maderas Reforestadas: FSC > Rainforest alliance > Espuma ISO 9001. ,21 días hábiles.,,https://aristas.co/wp-content/uploads/2023/09/sofa-Madrid-frente.jpg,https://aristas.co/producto/sofa-madrid/
Salas ,Salas ,Sofás,Sofá Antonella,2184000,2917000,,21 días hábiles,Espuma industrializada de alta densidad.,Telas de alta resistencia al desgaste.,100% producción nacional. ,"Maderas Reforestadas: FSC, PEFC > Rainforest alliance > ; Espuma ISO 9001. ",21 días hábiles,,https://aristas.co/wp-content/uploads/2023/08/1.SOFA-ANTONELLA-DICKENS-CUARZO.jpg,https://aristas.co/producto/sofa-antonella-1/
